"Height","FootR","FootL","Gender"
168,24,24,"F"
170,24,24,"M"
156,25,25,"F"
183,24,24,"M"
162,25,25,"F"
155,24.5,24.4,"M"
155,38,38,NA
175,27,27,"M"
179,24,24,"F"
165,24,23,"F"
180,26.8,26.9,"M"
170,27,26,"M"
126,12,12,"F"
0,0,0,"F"
176,26,26,"F"
154,35,35,"F"
178,26.7,26.7,"M"
149.9,23.2,23.2,"M"
178,28,27,"F"
162,22,23,"F"
151,23,23,"F"
142,24,23,"F"
165,24.2,23.7,"F"
177,27,27,"M"
160,20,20,"F"
130,34,34,"F"
156,24.5,24,"M"
168,22,22,"F"
182,29,29,"M"
177,22,23,"F"
177,24,25,"M"
165,24,23,"F"
164,35,35,"M"
142,22,22,"F"
174,28,26,"F"
132,21,21,"F"
170,28,27,"M"
162,21.8,21.6,"F"
166,23.6,24.2,"F"
158,21,22,"F"
161,22,23,"F"
146,23,23,"M"
164,26,26,"M"
165,25,25,"F"
180.3,26.5,26.8,"M"
165,23,23,"F"
140,20,20,"M"
188,35,35,"M"
170.5,24,24,"F"
152,22,22,"F"
182,27,27,"M"
175,24,24,"F"
174,26,27,"M"
152,21.5,21,"F"
177.8,27,27,"M"
165,22,22,"F"
180,27,28,"M"
155,24,23,"F"
154,23,22,"M"
161,23.4,23.7,"F"
170,23,23,"M"
160,22,22,"F"
150,30,30,"M"
185.5,34.6,34.2,"M"
152,20,20,"F"
169,19,19,"F"
156,21,20,"F"
161.5,12,12,"F"
206,22,22,"F"
180,24,24,"F"
160,23,25,"M"
181,28,28,"M"
172,25,25,"F"
155,25,25,"M"
156,26,27,"M"
185,27,27.5,"M"
160,5,5,"F"
170,28,27,"M"
170,24.5,25,"M"
152,19,18,"F"
14.5,25,25,"M"
165,26,26,"M"
0,0,0,"F"
160,25,25,"M"
170,27,27,"M"
175,30,30,"M"
163,25,26,"F"
167.4,21,21.1,"F"
162,21,23,"F"
160,23,22,"F"
163,25,24,"F"
146,15,15,"M"
163,28,28,"M"
166,23,24,"F"
151,25,24,"F"
90,12,12,"F"
170,21,21,"M"
