country	p014	p1544	p4564	p65+	pop
Austria	1.700000000e+001	4.420000000e+001	2.340000000e+001	1.550000000e+001	8.082800000e+003
Belgium	1.770000000e+001	4.220000000e+001	2.350000000e+001	1.660000000e+001	1.021380000e+004
Denmark	1.820000000e+001	4.160000000e+001	2.530000000e+001	1.490000000e+001	5.313600000e+003
Finland	1.840000000e+001	4.080000000e+001	2.610000000e+001	1.470000000e+001	5.159600000e+003
France	1.900000000e+001	4.250000000e+001	2.280000000e+001	1.580000000e+001	5.897320000e+004
Luxembourg	1.880000000e+001	4.370000000e+001	2.320000000e+001	1.430000000e+001	4.292000000e+002
Netherlands	1.850000000e+001	4.400000000e+001	2.400000000e+001	1.350000000e+001	1.576020000e+004
Portugal	1.690000000e+001	4.490000000e+001	2.310000000e+001	1.520000000e+001	9.979500000e+003
Sweden	1.860000000e+001	3.920000000e+001	2.490000000e+001	1.740000000e+001	8.854300000e+003
UK	1.920000000e+001	4.210000000e+001	2.310000000e+001	1.570000000e+001	5.939110000e+004
Germany	1.580000000e+001	4.250000000e+001	2.580000000e+001	1.590000000e+001	8.203700000e+004
Greece	1.540000000e+001	4.360000000e+001	2.410000000e+001	1.690000000e+001	1.052170000e+004
Italy	1.450000000e+001	4.290000000e+001	2.490000000e+001	1.770000000e+001	5.761260000e+004
Spain	1.530000000e+001	4.610000000e+001	2.220000000e+001	1.640000000e+001	3.939430000e+004
Ireland	2.220000000e+001	4.620000000e+001	2.030000000e+001	1.130000000e+001	3.734900000e+003
