"","Class","Sex","Age","Survived"
"7","3rd","Male","Child","No"
"8","3rd","Male","Child","No"
"12","3rd","Male","Child","No"
"17","3rd","Male","Child","No"
"26","3rd","Male","Child","No"
"29","3rd","Male","Child","No"
"37","3rd","Female","Child","No"
"38","3rd","Female","Child","No"
"44","3rd","Female","Child","No"
"45","3rd","Female","Child","No"
"47","3rd","Female","Child","No"
"49","3rd","Female","Child","No"
"51","3rd","Female","Child","No"
"71","1st","Male","Adult","No"
"72","1st","Male","Adult","No"
"80","1st","Male","Adult","No"
"82","1st","Male","Adult","No"
"84","1st","Male","Adult","No"
"86","1st","Male","Adult","No"
"87","1st","Male","Adult","No"
"90","1st","Male","Adult","No"
"91","1st","Male","Adult","No"
"100","1st","Male","Adult","No"
"103","1st","Male","Adult","No"
"113","1st","Male","Adult","No"
"115","1st","Male","Adult","No"
"118","1st","Male","Adult","No"
"119","1st","Male","Adult","No"
"120","1st","Male","Adult","No"
"122","1st","Male","Adult","No"
"130","1st","Male","Adult","No"
"143","1st","Male","Adult","No"
"152","1st","Male","Adult","No"
"156","1st","Male","Adult","No"
"159","1st","Male","Adult","No"
"165","1st","Male","Adult","No"
"166","1st","Male","Adult","No"
"169","1st","Male","Adult","No"
"172","2nd","Male","Adult","No"
"178","2nd","Male","Adult","No"
"180","2nd","Male","Adult","No"
"186","2nd","Male","Adult","No"
"190","2nd","Male","Adult","No"
"192","2nd","Male","Adult","No"
"205","2nd","Male","Adult","No"
"207","2nd","Male","Adult","No"
"222","2nd","Male","Adult","No"
"224","2nd","Male","Adult","No"
"225","2nd","Male","Adult","No"
"227","2nd","Male","Adult","No"
"229","2nd","Male","Adult","No"
"237","2nd","Male","Adult","No"
"238","2nd","Male","Adult","No"
"240","2nd","Male","Adult","No"
"243","2nd","Male","Adult","No"
"244","2nd","Male","Adult","No"
"248","2nd","Male","Adult","No"
"252","2nd","Male","Adult","No"
"254","2nd","Male","Adult","No"
"268","2nd","Male","Adult","No"
"269","2nd","Male","Adult","No"
"272","2nd","Male","Adult","No"
"273","2nd","Male","Adult","No"
"286","2nd","Male","Adult","No"
"292","2nd","Male","Adult","No"
"299","2nd","Male","Adult","No"
"312","2nd","Male","Adult","No"
"315","2nd","Male","Adult","No"
"318","2nd","Male","Adult","No"
"321","2nd","Male","Adult","No"
"322","2nd","Male","Adult","No"
"328","3rd","Male","Adult","No"
"333","3rd","Male","Adult","No"
"342","3rd","Male","Adult","No"
"344","3rd","Male","Adult","No"
"347","3rd","Male","Adult","No"
"350","3rd","Male","Adult","No"
"352","3rd","Male","Adult","No"
"359","3rd","Male","Adult","No"
"363","3rd","Male","Adult","No"
"365","3rd","Male","Adult","No"
"367","3rd","Male","Adult","No"
"369","3rd","Male","Adult","No"
"383","3rd","Male","Adult","No"
"402","3rd","Male","Adult","No"
"405","3rd","Male","Adult","No"
"408","3rd","Male","Adult","No"
"411","3rd","Male","Adult","No"
"417","3rd","Male","Adult","No"
"418","3rd","Male","Adult","No"
"420","3rd","Male","Adult","No"
"423","3rd","Male","Adult","No"
"435","3rd","Male","Adult","No"
"437","3rd","Male","Adult","No"
"443","3rd","Male","Adult","No"
"451","3rd","Male","Adult","No"
"459","3rd","Male","Adult","No"
"462","3rd","Male","Adult","No"
"464","3rd","Male","Adult","No"
"474","3rd","Male","Adult","No"
"475","3rd","Male","Adult","No"
"477","3rd","Male","Adult","No"
"487","3rd","Male","Adult","No"
"495","3rd","Male","Adult","No"
"500","3rd","Male","Adult","No"
"519","3rd","Male","Adult","No"
"531","3rd","Male","Adult","No"
"532","3rd","Male","Adult","No"
"544","3rd","Male","Adult","No"
"549","3rd","Male","Adult","No"
"553","3rd","Male","Adult","No"
"564","3rd","Male","Adult","No"
"565","3rd","Male","Adult","No"
"584","3rd","Male","Adult","No"
"588","3rd","Male","Adult","No"
"589","3rd","Male","Adult","No"
"591","3rd","Male","Adult","No"
"593","3rd","Male","Adult","No"
"594","3rd","Male","Adult","No"
"597","3rd","Male","Adult","No"
"608","3rd","Male","Adult","No"
"610","3rd","Male","Adult","No"
"617","3rd","Male","Adult","No"
"622","3rd","Male","Adult","No"
"627","3rd","Male","Adult","No"
"635","3rd","Male","Adult","No"
"638","3rd","Male","Adult","No"
"641","3rd","Male","Adult","No"
"642","3rd","Male","Adult","No"
"644","3rd","Male","Adult","No"
"648","3rd","Male","Adult","No"
"650","3rd","Male","Adult","No"
"662","3rd","Male","Adult","No"
"673","3rd","Male","Adult","No"
"705","3rd","Male","Adult","No"
"710","3rd","Male","Adult","No"
"712","Crew","Male","Adult","No"
"714","Crew","Male","Adult","No"
"718","Crew","Male","Adult","No"
"732","Crew","Male","Adult","No"
"733","Crew","Male","Adult","No"
"734","Crew","Male","Adult","No"
"745","Crew","Male","Adult","No"
"748","Crew","Male","Adult","No"
"750","Crew","Male","Adult","No"
"761","Crew","Male","Adult","No"
"766","Crew","Male","Adult","No"
"783","Crew","Male","Adult","No"
"784","Crew","Male","Adult","No"
"788","Crew","Male","Adult","No"
"791","Crew","Male","Adult","No"
"793","Crew","Male","Adult","No"
"794","Crew","Male","Adult","No"
"797","Crew","Male","Adult","No"
"799","Crew","Male","Adult","No"
"802","Crew","Male","Adult","No"
"809","Crew","Male","Adult","No"
"825","Crew","Male","Adult","No"
"828","Crew","Male","Adult","No"
"834","Crew","Male","Adult","No"
"839","Crew","Male","Adult","No"
"841","Crew","Male","Adult","No"
"842","Crew","Male","Adult","No"
"846","Crew","Male","Adult","No"
"847","Crew","Male","Adult","No"
"850","Crew","Male","Adult","No"
"859","Crew","Male","Adult","No"
"862","Crew","Male","Adult","No"
"865","Crew","Male","Adult","No"
"868","Crew","Male","Adult","No"
"875","Crew","Male","Adult","No"
"880","Crew","Male","Adult","No"
"887","Crew","Male","Adult","No"
"890","Crew","Male","Adult","No"
"902","Crew","Male","Adult","No"
"908","Crew","Male","Adult","No"
"911","Crew","Male","Adult","No"
"913","Crew","Male","Adult","No"
"914","Crew","Male","Adult","No"
"915","Crew","Male","Adult","No"
"919","Crew","Male","Adult","No"
"924","Crew","Male","Adult","No"
"931","Crew","Male","Adult","No"
"947","Crew","Male","Adult","No"
