"","Class","Sex","Age","Survived"
"633","3rd","Male","Adult","No"
"1735","Crew","Male","Adult","Yes"
"900","Crew","Male","Adult","No"
"1941","1st","Female","Adult","Yes"
"2067","2nd","Female","Adult","Yes"
"101","1st","Male","Adult","No"
"1160","Crew","Male","Adult","No"
"1958","1st","Female","Adult","Yes"
"1210","Crew","Male","Adult","No"
"1001","Crew","Male","Adult","No"
"2097","2nd","Female","Adult","Yes"
"993","Crew","Male","Adult","No"
"1484","3rd","Female","Adult","No"
"1253","Crew","Male","Adult","No"
"226","2nd","Male","Adult","No"
"1968","1st","Female","Adult","Yes"
"538","3rd","Male","Adult","No"
"92","1st","Male","Adult","No"
"716","Crew","Male","Adult","No"
"2083","2nd","Female","Adult","Yes"
"2198","Crew","Female","Adult","Yes"
"1511","3rd","Male","Child","Yes"
"1396","2nd","Female","Adult","No"
"2166","3rd","Female","Adult","Yes"
"1428","3rd","Female","Adult","No"
"1542","3rd","Female","Child","Yes"
"1184","Crew","Male","Adult","No"
"1292","Crew","Male","Adult","No"
"629","3rd","Male","Adult","No"
"320","2nd","Male","Adult","No"
"2091","2nd","Female","Adult","Yes"
"2194","Crew","Female","Adult","Yes"
"1499","2nd","Male","Child","Yes"
"1725","Crew","Male","Adult","Yes"
"54","1st","Male","Adult","No"
"1035","Crew","Male","Adult","No"
"1643","3rd","Male","Adult","Yes"
"469","3rd","Male","Adult","No"
"689","3rd","Male","Adult","No"
"501","3rd","Male","Adult","No"
"309","2nd","Male","Adult","No"
"896","Crew","Male","Adult","No"
"894","Crew","Male","Adult","No"
"796","Crew","Male","Adult","No"
"329","3rd","Male","Adult","No"
"300","2nd","Male","Adult","No"
"503","3rd","Male","Adult","No"
"1004","Crew","Male","Adult","No"
"573","3rd","Male","Adult","No"
"1847","Crew","Male","Adult","Yes"
"99","1st","Male","Adult","No"
"951","Crew","Male","Adult","No"
"1717","Crew","Male","Adult","Yes"
"262","2nd","Male","Adult","No"
"1205","Crew","Male","Adult","No"
"444","3rd","Male","Adult","No"
"274","2nd","Male","Adult","No"
"1616","2nd","Male","Adult","Yes"
"1919","1st","Female","Adult","Yes"
"803","Crew","Male","Adult","No"
"1425","3rd","Female","Adult","No"
"203","2nd","Male","Adult","No"
"822","Crew","Male","Adult","No"
"587","3rd","Male","Adult","No"
"1741","Crew","Male","Adult","Yes"
"959","Crew","Male","Adult","No"
"1730","Crew","Male","Adult","Yes"
"1734","Crew","Male","Adult","Yes"
"1695","Crew","Male","Adult","Yes"
"938","Crew","Male","Adult","No"
"1608","2nd","Male","Adult","Yes"
"1341","Crew","Male","Adult","No"
"1512","3rd","Male","Child","Yes"
"2","3rd","Male","Child","No"
"1011","Crew","Male","Adult","No"
"468","3rd","Male","Adult","No"
"808","Crew","Male","Adult","No"
"1302","Crew","Male","Adult","No"
"747","Crew","Male","Adult","No"
"236","2nd","Male","Adult","No"
"517","3rd","Male","Adult","No"
"1417","3rd","Female","Adult","No"
"885","Crew","Male","Adult","No"
"1670","3rd","Male","Adult","Yes"
